player_id,matches_played,avg_kills,avg_deaths,kd_ratio,avg_accuracy,stddev_accuracy,avg_headshot_rate,avg_reaction_time_ms,stddev_reaction_time_ms,avg_damage_dealt,cheater_flag,accuracy_z_score,headshot_z_score,reaction_z_score,suspicion_score,consistency_flag
player_0000,10,6.3,5.9,1.0678,0.3031,0.106992,0.1974,257.01,40.5752,1133.3,0,-0.19109139114237603,-0.24102273635502586,-1.2576808836498568,-1.6897950111472586,0
player_0001,7,9.86,5.71,1.725,0.2986,0.150293,0.2231,217.81,56.7221,1284.0,0,-0.23762464475533585,0.012143611490529269,-0.13159511540712832,-0.3570761486719349,0
player_0002,10,10.5,6.8,1.5441,0.2679,0.091712,0.1357,211.44,27.9811,1353.9,0,-0.555084841625972,-0.8488189877974676,0.05139382193231523,-1.3525100074911243,0
player_0003,10,8.1,7.5,1.08,0.3497,0.073062,0.1748,201.35,40.6666,767.0,0,0.29078630182738563,-0.46365150916862663,0.3412460005437728,0.1683807932025318,0
player_0004,10,7.9,6.0,1.3167,0.2635,0.083184,0.1977,190.22,48.6117,1125.9,0,-0.6005840229364218,-0.2380674871583852,0.660973924026976,-0.17767758606783102,0
player_0005,10,9.1,7.8,1.1667,0.307,0.09351,0.2042,231.59,68.6724,1036.7,0,-0.1507625713444774,-0.17403708789783617,-0.5274487349577611,-0.8522483942000747,0
player_0006,10,26.7,2.8,9.5357,0.7526,0.117336,0.6354,90.38,15.3925,3195.5,1,4.457063608641052,4.073641090740427,3.529045431714579,12.059750131096058,0
player_0007,10,10.4,5.6,1.8571,0.35,0.08858,0.2223,207.18,56.2578,1468.8,0,0.29388851873491595,0.0042629469661540605,0.17376946919542785,0.47192093489649783,0
player_0008,10,5.8,6.3,0.9206,0.3347,0.113274,0.2003,237.76,47.664,931.0,0,0.13567545645085288,-0.2124553274541654,-0.7046923367449454,-0.7814722077482579,0
player_0009,10,9.1,5.1,1.7843,0.3019,0.094775,0.2254,212.21,64.5301,1121.8,0,-0.20350025877249842,0.0348005219981081,0.029274280056118478,-0.13942545671827183,0
player_0010,10,6.2,5.4,1.1481,0.2292,0.064668,0.1861,202.91,44.7494,1288.7,0,-0.9552708226974267,-0.3523371227618264,0.29643238323615395,-1.0111755622230991,0
player_0011,10,8.9,6.4,1.3906,0.3301,0.096832,0.1681,223.51,64.1432,1169.1,0,0.08810813053538294,-0.5296520745602695,-0.2953371786465044,-0.7368811226713909,0
player_0012,10,8.7,6.5,1.3385,0.3631,0.093603,0.166,226.81,51.0561,1419.5,0,0.42935199036375443,-0.5503388189367545,-0.39013521525877526,-0.5111220438317754,0
player_0013,10,7.8,7.1,1.0986,0.3076,0.098565,0.2797,206.64,40.932,1344.3,0,-0.1445581375294162,0.5697006265900788,0.18928187518652723,0.6144243642471898,0
player_0014,10,8.3,7.5,1.1067,0.3344,0.067954,0.1435,213.3,35.3025,1002.1,0,0.13257323954332198,-0.7719825086848088,-0.002037798703692192,-0.6414470678451789,0
player_0015,10,9.5,7.8,1.2179,0.273,0.08172,0.2056,204.61,50.6305,1085.1,0,-0.5023471541979511,-0.16024592498017934,0.2475970310419535,-0.41499604813617685,0
player_0016,10,9.5,5.8,1.6379,0.3619,0.083419,0.18,223.9,47.7318,1197.6,0,0.41694312273363204,-0.41242718976018766,-0.3065405829734095,-0.30202464999996514,0
player_0017,10,7.7,5.9,1.3051,0.3577,0.08749,0.2292,227.34,43.4947,1215.5,0,0.3735120860282031,0.07223367848889055,-0.40536035447226115,0.04038541004483254,0
player_0018,9,7.22,7.11,1.0156,0.2954,0.053143,0.182,212.27,56.3375,1269.0,0,-0.2707149584356626,-0.3927255284492495,0.027550679390440765,-0.6358898074944714,0
player_0019,10,7.6,6.7,1.1343,0.3181,0.122058,0.1812,194.95,38.526,1211.4,0,-0.035980545765843266,-0.4006061929736247,0.5250967382160552,0.08850999947658722,0
player_0020,10,8.1,8.5,0.9529,0.2779,0.110882,0.2017,210.21,46.3554,1260.9,0,-0.4516776113749508,-0.19866416453650887,0.08672763557870668,-0.563614140332753,0
player_0021,10,7.8,4.7,1.6596,0.2552,0.100212,0.1851,216.72,36.0072,1183.3,0,-0.6864120240447702,-0.3621879534172955,-0.10028303664731766,-1.1488830141093835,0
player_0022,10,9.9,7.4,1.3378,0.2581,0.09181,0.1658,216.51,32.7655,1295.0,0,-0.6564239272719737,-0.5523089850678483,-0.09425043431744567,-1.3029833466572678,0
player_0023,10,8.4,4.8,1.75,0.3465,0.133688,0.1772,227.18,49.5507,1304.1,0,0.2576959881470583,-0.440009515595501,-0.40076408603045416,-0.5830776134788969,0
player_0024,10,5.6,4.5,1.2444,0.3086,0.083808,0.1904,222.79,43.9092,1193.4,0,-0.13421741450431401,-0.3099785509433091,-0.27465397065837266,-0.7188499361059958,0
player_0025,10,21.3,2.0,10.65,0.723,0.081682,0.6265,65.08,16.867,3316.2,1,4.150978207098027,3.9859686979067517,4.25583037907532,12.392777284080099,0
player_0026,10,9.3,5.9,1.5763,0.3617,0.105285,0.2194,253.04,44.1013,1163.1,0,0.41487497812861185,-0.024304461934706104,-1.1436359729375192,-0.7530654567436135,0
player_0027,10,21.4,1.8,11.8889,0.7311,0.045146,0.6489,77.76,25.8939,3478.5,1,4.2347380636013545,4.20662730458926,3.8915761050621107,12.332941473252724,0
player_0028,10,7.8,7.2,1.0833,0.3027,0.095695,0.1974,208.81,57.4747,985.4,0,-0.19522768035241644,-0.24102273635502586,0.12694498444451857,-0.30930543226292373,0
player_0029,10,7.9,5.2,1.5192,0.248,0.117024,0.2359,224.83,54.7222,1232.9,0,-0.7608652298255056,0.13823424388053343,-0.3332563932914132,-0.9558873792363854,0
player_0030,10,19.7,2.4,8.2083,0.7276,0.085466,0.6588,81.09,19.8363,3612.0,1,4.1985455330134975,4.304150528078404,3.795916268117001,12.298612329208902,0
player_0031,10,8.4,6.2,1.3548,0.3262,0.085049,0.2301,210.75,47.4438,1147.6,0,0.04777931073748431,0.08109942607881282,0.07121522958760809,0.20009396640390523,0
player_0032,9,24.56,2.89,8.5,0.7396,0.067216,0.6768,72.58,19.6857,3358.78,1,4.322634209314724,4.481465479876846,4.0403802958656145,12.844479985057184,0
player_0033,10,8.9,7.9,1.1266,0.3285,0.077741,0.2086,217.3,43.6554,1208.1,0,0.07156297369521956,-0.1306934330137721,-0.1169445097488686,-0.17607496906742112,0
player_0034,9,8.22,4.33,1.8974,0.2911,0.117369,0.2143,245.61,46.2567,1065.89,0,-0.31518006744360166,-0.07454369827759857,-0.9301967571711046,-1.3199205228923048,0
player_0035,10,8.7,7.8,1.1154,0.3113,0.159983,0.1824,224.8,39.9529,1018.0,0,-0.10629746233653778,-0.38878519618706175,-0.3323945929585744,-0.827477251482174,0
player_0036,10,8.0,5.8,1.3793,0.3308,0.131873,0.149,217.88,37.7581,1397.6,0,0.09534663665295424,-0.7178029400797289,-0.13360598285041872,-0.7560622862771933,0
player_0037,10,8.5,6.5,1.3077,0.3219,0.061532,0.1763,218.12,58.9667,1077.9,0,0.0033142017295452607,-0.44887526318542303,-0.14050038551312957,-0.5860614469690073,0
player_0038,10,6.3,4.7,1.3404,0.2627,0.071156,0.236,259.6,34.2098,1196.0,0,-0.6088566013565038,0.13921932694608022,-1.3320829790516093,-1.801720253462033,0
player_0039,9,8.89,6.89,1.2903,0.2724,0.106127,0.2293,233.36,50.6956,1307.67,0,-0.5085515880130128,0.07321876155443761,-0.5782949545952519,-1.013627781053827,0
player_0040,10,8.2,5.9,1.3898,0.2771,0.117399,0.2136,210.87,37.6678,1080.9,0,-0.4599501897950322,-0.08143927973642671,0.06776802825625267,-0.4736214412752063,0
player_0041,10,7.7,5.6,1.375,0.2934,0.078352,0.1944,214.32,58.2245,1132.5,0,-0.29139640448586696,-0.2705752283214331,-0.03133901002021165,-0.5933106428275118,0
player_0042,10,7.1,5.7,1.2456,0.3061,0.120937,0.1822,238.79,28.974,1168.9,0,-0.16006922206706947,-0.3907553623181556,-0.7342808148390783,-1.2851053992243033,0
player_0043,10,11.7,7.5,1.56,0.2731,0.127302,0.2306,227.77,67.2233,1239.8,0,-0.501313081895441,0.08602484140654736,-0.4177128259096178,-0.8330010663985115,0
player_0044,10,9.7,6.1,1.5902,0.2868,0.107405,0.2056,203.96,30.4765,1174.1,0,-0.35964517645154126,-0.16024592498017934,0.2662693715867948,-0.25362172984492576,0
player_0045,10,7.5,7.8,0.9615,0.2864,0.065782,0.2435,201.2,47.3123,1123.0,0,-0.36378146566158226,0.2131005568620983,0.3455550022079671,0.19487409340848313,0
player_0046,10,7.9,6.3,1.254,0.2991,0.102077,0.2421,216.88,37.7105,1342.4,0,-0.23245428324278478,0.19930939394444178,-0.10487930508912462,-0.1380241943874676,0
player_0047,10,7.7,8.3,0.9277,0.2846,0.091341,0.2254,242.94,49.7114,1165.2,0,-0.38239476710676584,0.0348005219981081,-0.853496527548449,-1.2010907726571067,0
player_0048,10,10.2,6.5,1.5692,0.3246,0.0725,0.1912,203.33,49.2661,1236.7,0,0.031234153897320927,-0.3020978864189339,0.28436717857641,0.013503446054796975,0
player_0049,10,5.9,4.9,1.2041,0.2891,0.099885,0.1699,208.7,44.4947,1116.4,0,-0.33586151349380605,-0.5119205793804252,0.13010491899826132,-0.71767717387597,0
player_0050,10,8.8,8.8,1.0,0.2821,0.090973,0.2125,220.2,55.6876,1146.8,0,-0.4082465746695213,-0.09227519345744287,-0.20025187525662083,-0.7007736433835849,0
player_0051,10,7.6,6.4,1.1875,0.3438,0.089601,0.1995,222.43,54.1604,1382.6,0,0.22977603597928262,-0.22033599197854062,-0.2643123666643072,-0.2548723226635652,0
player_0052,10,6.9,5.6,1.2321,0.2655,0.096323,0.2052,229.1,49.7887,1119.6,0,-0.5799025768862175,-0.16418625724236707,-0.4559193073321385,-1.200008141460723,0
player_0053,10,7.0,6.2,1.129,0.3008,0.102188,0.2007,272.42,59.6646,1347.0,0,-0.2148750541001107,-0.20851499519197794,-1.7003589879513996,-2.1237490372434884,0
player_0054,10,8.3,7.5,1.1067,0.3414,0.095388,0.1975,218.15,79.4706,1091.7,0,0.20495830071903728,-0.24003765328947876,-0.1413621858459684,-0.1764415384164099,0
player_0055,7,5.43,7.0,0.7755,0.2937,0.112252,0.2037,224.79,69.0133,1138.14,0,-0.2882941875783361,-0.1789625032255707,-0.33210732618096084,-0.7993640169848676,0
player_0056,10,6.3,7.6,0.8289,0.2833,0.132362,0.199,201.61,44.602,1184.8,0,-0.3958377070393989,-0.22526140730627517,0.33377706432583576,-0.28732205001983835,0
player_0057,9,6.11,6.0,1.0185,0.2735,0.080132,0.1761,203.33,25.0932,1040.44,0,-0.4971767926854,-0.4508454293165169,0.28436717857641,-0.6636550434255069,0
player_0058,10,7.4,6.3,1.1746,0.3028,0.052109,0.1863,232.76,48.5482,1289.2,0,-0.19419360804990635,-0.35036695663073253,-0.5610589479384748,-1.1056195126191137,0
player_0059,10,8.9,8.5,1.0471,0.3419,0.075305,0.1815,237.28,25.5973,1304.9,0,0.21012866223158835,-0.39765094377698407,-0.6909035314195244,-0.8784258129649202,0
player_0060,10,5.8,7.4,0.7838,0.3077,0.096674,0.2063,227.69,30.4591,1230.6,0,-0.14352406522690608,-0.15335034352135093,-0.4154146916887139,-0.7122891004369709,0
player_0061,8,6.0,5.75,1.0435,0.3351,0.095377,0.1381,212.34,37.5374,1276.5,0,0.13981174566089385,-0.8251769942243417,0.025539811947150375,-0.6598254366162974,0
